IDN,MAY_21,JUN,JUL,AUG,SEP,NOV,DECE,JAN,FEB,MAR,APR,MAY
T1225354130,1879317.89827200,1876510.06930800,2550333.81820230,3980605.66332231,5224715.14797750,6456993.45801950,6614060.48421300,6647150.43326880,6693248.96260020,6836670.59049000,7041700.24307100,6942642.98562900
E2770396370,59018.63465280,59472.92913940,59677.91541580,59262.92810400,59462.77158500,59344.80738180,59087.83832700,59383.45303520,59795.28211580,61076.56371000,62908.23110900,62023.28619100
T1752612890,195002.00000000,195002.00000000,195002.00000000,195002.00000000,195002.00000000,145439.00000000,95876.00000000,95876.00000000,95876.00000000,95876.00000000,95876.00000000,95876.00000000
L1751439520,341531.35129083,341595.28056733,300798.17741103,431846.22994063,395387.46298332,239241.71883804,319017.77239973,390310.36632000,306558.51182000,207362.76750000,252082.19735000,380849.56751209
G2793650840,933244.52251091,974906.04870470,978266.27265290,959405.24568348,734209.62023033,812486.07193080,952437.07620125,1063267.47113440,1156602.72911260,1181386.18587000,1268711.92291300,1297773.55508183
A2771164300,578761.75054966,817228.26752000,819263.86976000,812567.33040000,814725.88848000,811740.79392000,808448.30976000,813086.47728000,817180.45136000,832349.55888000,855330.91616000,843265.30512000
D1779911590,696.00000000,696.00000000,696.00000000,696.00000000,696.00000000,696.00000000,696.00000000,3470.19354838,9053.14285714,15341.16129032,21362.66666666,27470.19354838
A2716151580,329747.32648000,327142.42616000,328504.76780000,326190.98556000,327033.25688000,330785.19276000,329713.21108000,331510.71360000,336562.82528000,341756.70540000,337693.94032000,330171.87368000
L1774726570,304255.97712000,306597.98001000,307654.73607000,305515.37160000,306545.61525000,305937.47997000,304612.73955000,306136.70808000,308259.79107000,314865.12150000,324307.82985000,319745.71515000
B2779229100,500317.30080000,504168.48090000,505906.20630000,502388.24400000,504082.37250000,503082.35730000,500903.95950000,503409.96720000,506901.15630000,517762.93500000,533290.48650000,525788.56350000
R1777669740,382657.55600000,384131.81925000,384797.03475000,383450.33000000,384098.85625000,383716.04225000,382882.13375000,383841.45400000,385177.90975000,389335.88750000,395279.96125000,392408.16375000
F2272680290,271980.11808000,274073.67834000,275018.33238000,273105.91440000,274026.86850000,273483.24498000,272299.03470000,273661.33872000,275559.20238000,281463.83100000,289904.84490000,285826.68510000
G2728762700,495258.10552320,497596.35303360,498651.41459520,496515.48057600,497544.07224000,496936.91209920,495614.29588800,497135.82074880,499255.49939520,505850.23824000,515277.80529600,510723.00590400
F1787697100,234080.56272000,234960.01131000,235356.83517000,234553.47960000,234940.34775000,234711.98607000,234214.53105000,234786.79848000,235584.04017000,238064.41650000,241610.26035000,239897.13465000
A2795498570,65713.31712000,66219.14376000,66447.38232000,65985.32160000,66207.83400000,66076.48872000,65790.37080000,66119.51808000,66578.06232000,68004.68400000,70044.12360000,69058.79640000
R2776209740,1381459.31544000,1392093.06449500,1396891.21346500,1387177.53420000,1391855.30487500,1389094.09651500,1383079.17772500,1389998.68196000,1399638.43596500,1429629.61425000,1472503.76757500,1451789.70992500
F2753941210,6075.71612160,6122.48379680,6143.58625760,6100.86508800,6121.43812000,6109.29420960,6082.84034400,6113.27261440,6155.66865760,6287.57112000,6476.13344800,6385.03215200
F2773617560,165776.51612903,285504.00000000,285504.00000000,285504.00000000,285504.00000000,285504.00000000,285504.00000000,285504.00000000,285504.00000000,285504.00000000,285504.00000000,285504.00000000
R1720847540,1366206.41376000,1376722.75398000,1381467.92586000,1371861.49680000,1376487.61950000,1373756.89806000,1367808.39090000,1374651.49584000,1384184.81586000,1413844.85700000,1456245.63030000,1435760.27970000
Q1725744810,225035.77014890,304589.16542922,322837.23581230,320592.29552400,321673.38082250,321035.23458330,319645.11934950,321244.29443120,323472.14976230,330403.44763500,340312.14561650,273196.64918801
B1722109510,201127.92963096,216215.53758000,216960.77106000,215452.07280000,216178.60950000,215749.74726000,214815.52890000,215890.24464000,235437.03315000,308081.82600000,317321.10540000,312857.27460000
F2740419710,10043.99538580,10841.43389000,10878.80123000,10803.15240000,13421.44627716,26183.45755460,28912.87431900,29057.52457440,29259.04087260,29885.99787000,30782.26977300,30349.24832700
R2729978880,1616269.46500000,1627665.92000000,1631720.21000000,1618382.77500000,1622681.95500000,1616736.57000000,1610178.96000000,1619416.75500000,1627570.68500000,1657782.85500000,1703554.61000000,1679523.64500000
B1720838590,398634.23969280,401702.71693440,403087.27198080,400284.29030400,401634.10896000,400837.33399680,399101.66755200,362282.39093760,336566.67598400,343778.56080000,354088.37432000,349107.32968000
D1794636780,30766.33343040,31003.15652420,31110.01558940,30893.68327200,30997.86140500,30936.36682740,30802.40921100,30956.51275360,31171.19868940,31839.12903000,32793.97473700,32332.65416300
Q1776416920,56199.26784000,56631.86032000,56827.05424000,56431.89120000,56622.18800000,56509.85904000,56265.16560000,56546.65856000,56938.81424000,58158.88800000,59903.05520000,59060.38480000
T2724249100,85704.19571380,1032919.61122046,1286348.64601845,1563087.14871870,2064160.05229875,3138211.24425520,3491747.54278045,3901361.25734320,3311896.84840630,3138587.60938500,3232712.88844150,3187237.55410850
N1791752110,276622.08910080,309793.10943644,319904.05515625,277767.09974400,278703.77206000,278150.87034480,276946.44877200,278332.00366720,280262.25876880,286267.66356000,294852.74292400,290704.97987600
P2725700980,3533844.66656000,3505928.40352000,3520528.38160000,3495731.98032000,3504758.45536000,3544967.29872000,3533479.05776000,3552742.57920000,3606885.18016000,3662547.08880000,3619007.14304000,3538394.46496000
A2794806660,418312.55714400,555852.02094450,872260.32499650,866194.81542000,869115.75423750,867391.57380150,863635.68002250,867956.42379600,873975.77224650,892703.15392500,919475.04750750,906540.57524250
J2724034070,2736566.14248000,2720029.09964000,2435956.56128000,2419017.44640000,2427174.73600000,2422359.62688000,2411870.56320000,2423937.08032000,2440747.28128000,2493047.13600000,2567812.85440000,2531690.82560000
P1753569790,252711.40257600,254656.64237300,255534.37141100,253757.44068000,254613.14882500,254108.03888100,253007.72521500,254273.51538400,256036.92291100,261523.23195000,269366.23340500,265576.99509500
F2719331290,1557278.03225802,1835089.13333332,1919250.00000000,1919250.00000000,1919250.00000000,1699918.46666663,2235217.48387094,554346.67741933,1426939.89285712,1510786.58064513,474167.53333333,2236010.87096773
H1739442540,6693.02304000,6744.54242000,6767.78894000,6720.72720000,6743.39050000,6730.01274000,6700.87110000,6734.39536000,6781.09894000,6926.40300000,7134.12370000,7033.76630000
U2722644780,327723.04344000,330245.68349500,331383.94646500,329079.57420000,330189.27987500,329534.23951500,328107.32272500,329748.83396000,332035.66896500,339150.46425000,349321.48257500,344407.49492500
A2795667510,675293.90679016,1273706.20415350,2090242.48267930,2427084.20182766,3319444.94187023,2929163.50587812,2419078.39210663,2811608.75742609,2202654.31527990,3044046.95462561,3252177.77447937,3517457.53480415
J2791451100,63190.98777600,63677.39884800,63896.87673600,69465.59580193,75756.41921750,75606.13113990,75278.74889850,44890.07729360,12157.50164090,12418.01020500,12790.42251950,12610.49663050
H2722883690,65345.00000000,65345.00000000,65345.00000000,65345.00000000,65345.00000000,65345.00000000,126957.25806451,133043.25806451,137761.00000000,142881.96774193,148011.00000000,152720.67741935
