,date,item_nbr,unit_sales,onpromotion,weekday,DayFromWagePaid,DayToWagePaid,OilPrice,transactions,type,assortment_1,assortment_2,assortment_3,assortment_4,assortment_5,assortment_6,assortment_7,assortment_8,assortment_9,assortment_10,unit_sales_lag1,d1,ln_unit_sales_lag1,work,weekend,holiday,Sun,Mon,Tue,Wed,Thu,Fri,Sat
1,2014-04-01,103665.0,3.0,0,1,1,14,0.0844992424061199,0.577492647471631,Work,1,0,0,0,0,0,0,0,0,0,,0,,1,0,0,0,1,0,0,0,0,0
2,2014-04-02,103665.0,2.0,0,2,2,13,0.07844676579626672,0.6946974078038708,Work,1,0,0,0,0,0,0,0,0,0,3.0,0,1.0986122886681098,1,0,0,0,0,1,0,0,0,0
3,2014-04-03,103665.0,1.0,0,3,3,12,0.12484908647180684,0.44676426094720967,Work,1,0,0,0,0,0,0,0,0,0,2.0,0,0.6931471805599453,1,0,0,0,0,0,1,0,0,0
4,2014-04-04,103665.0,2.0,0,4,4,11,0.18335636036705144,0.6406029030351448,Work,1,0,0,0,0,0,0,0,0,0,1.0,0,0.0,1,0,0,0,0,0,0,1,0,0
5,2014-04-05,103665.0,8.0,0,5,5,10,0.16699225694041347,-0.44579506773677036,Weekend,1,0,0,0,0,0,0,0,0,0,2.0,0,0.6931471805599453,0,1,0,0,0,0,0,0,1,0
6,2014-04-06,103665.0,3.0,0,6,6,9,0.15062815351377454,-2.3931972394109087,Weekend,1,0,0,0,0,0,0,0,0,0,8.0,0,2.0794415416798357,0,1,0,0,0,0,0,0,0,1
7,2014-04-07,103665.0,6.0,0,0,7,8,0.1342640500871337,0.7780931026556568,Work,1,0,0,0,0,0,0,0,0,0,3.0,0,1.0986122886681098,1,0,0,1,0,0,0,0,0,0
8,2014-04-08,103665.0,5.0,0,1,8,7,0.2781784939214142,0.3430831268071514,Work,1,0,0,0,0,0,0,0,0,0,6.0,0,1.791759469228055,1,0,0,0,1,0,0,0,0,0
9,2014-04-09,103665.0,3.0,0,2,9,6,0.3440832392287022,0.7871088534504445,Work,1,0,0,0,0,0,0,0,0,0,5.0,0,1.6094379124341003,1,0,0,0,0,1,0,0,0,0
10,2014-04-10,103665.0,2.0,0,3,10,5,0.33197828600899676,0.40393944467196824,Work,1,0,0,0,0,0,0,0,0,0,3.0,0,1.0986122886681098,1,0,0,0,0,0,1,0,0,0
11,2014-04-11,103665.0,3.0,0,4,11,4,0.3528257054429349,0.6203174637468725,Work,1,0,0,0,0,0,0,0,0,0,2.0,0,0.6931471805599453,1,0,0,0,0,0,0,1,0,0
